"","Time","TMPM","Rain","LF","VP","Sat_def","Rad_Int","GlobRad","Wind","TMPMN","TMPMX"
"1",34335,2.7,0.4,88.5,6.5,0.9,20.7,1.79,3.7,1.5,4.5
"2",34336,1.2,1.2,91.8,6.1,0.5,11.7,1.01,3.2,-0.3,3
"3",34337,3.3,4.3,96.6,7.5,0.3,12.9,1.11,2.5,1.4,4.4
"4",34338,5.8,2.6,78.2,7.2,2,35.5,3.07,3.7,3.5,7.7
"5",34339,5.8,7.2,85.3,7.9,1.4,19.5,1.69,4.3,4.2,6.6
"6",34340,6.7,1.2,89.2,8.7,1.1,14.9,1.29,3,4.5,7.9
"7",34341,5.1,0,83.3,7.3,1.5,15.2,1.31,2.3,3.6,7.5
"8",34342,3,0,88.2,6.7,0.9,24.5,2.12,2.2,1.3,5.5
"9",34343,1.5,0.1,93,6.3,0.5,27.5,2.38,1.9,-1.5,3.8
"10",34344,3.2,0,94.1,7.2,0.5,12.8,1.1,3.5,1.1,4.3
"11",34345,2.1,0,97.1,6.9,0.2,13,1.12,2.6,1.5,3.3
"12",34346,6.7,6,87.1,8.5,1.3,15.5,1.34,4,2.3,7.7
"13",34347,8.3,2.7,74,8.1,2.8,34.4,2.97,6.9,6.9,11.5
"14",34348,6.5,0.6,74.8,7.2,2.5,17.6,1.52,6.5,5.6,8.2
"15",34349,4.7,7,86.8,7.4,1.1,15.4,1.33,4.5,2.8,6.4
"16",34350,-0.2,0.2,88.4,5.3,0.7,20.9,1.8,1.7,-2.5,3.9
"17",34351,-1.9,0,74.1,3.9,1.4,51.1,4.41,2,-3.7,0
"18",34352,1.8,0.2,81.8,5.7,1.3,14.4,1.24,5.7,-2.8,3.1
"19",34353,1.8,5.8,89.1,6.2,0.8,14.6,1.27,4.3,1.2,2.9
"20",34354,1,0.5,93,6.1,0.5,14.9,1.29,2.8,0,2
"21",34355,3.7,0.2,86.2,6.9,1.1,20.6,1.78,4.7,0.4,5
"22",34356,5.4,8.4,92.6,8.3,0.7,15.4,1.33,5.1,3.8,6.6
"23",34357,4.9,7.3,85.5,7.4,1.3,25.2,2.18,6.1,2.7,9.3
"24",34358,3.6,0.2,80.4,6.3,1.6,33.7,2.91,5.9,2.4,4.9
"25",34359,6,17.7,90.1,8.4,0.9,16.3,1.41,4.7,1.8,9.2
"26",34360,4.3,1.6,86.2,7.1,1.1,37.3,3.22,4.9,2.3,7.3
"27",34361,6.8,29.1,85.7,8.4,1.4,16.9,1.46,7.2,3.6,8.7
"28",34362,2.6,9.4,82.3,6.1,1.3,32.5,2.81,9.3,0.8,7.4
"29",34363,1.8,2,83.3,5.8,1.2,46.5,4.02,5.1,0.6,4.4
"30",34364,5.3,6.5,85.7,7.6,1.3,35.9,3.1,6.6,0.4,7.9
"31",34365,4.6,7.8,81.9,6.9,1.6,41.6,3.6,5.9,2.7,6
"32",34366,3.8,0.3,75.5,6,2,19.4,1.68,3.5,2.7,5.5
"33",34367,3.6,0,72.5,5.7,2.2,51.1,4.41,5.3,2.2,5.8
"34",34368,0.7,0.3,84.8,5.4,1,65.5,5.66,2.1,-2.2,4.7
"35",34369,1.6,0.1,81.6,5.6,1.3,36.5,3.15,5.5,-0.3,3
"36",34370,1.1,0,79.5,5.2,1.4,20.9,1.81,5,0,2
"37",34371,1.7,0,88.5,6.1,0.8,21.4,1.84,1.7,0.7,2.3
"38",34372,2.1,0.1,93.1,6.6,0.5,21.8,1.88,0.9,1.1,3.5
"39",34373,2.2,1,89.2,6.4,0.8,25.5,2.2,1,-0.5,3.8
"40",34374,4.1,1.7,84.8,7,1.2,63.4,5.48,3.8,1.6,7.1
"41",34375,2.6,3.1,92.4,6.8,0.6,23,1.99,3.7,1.4,4.3
"42",34376,2.4,0.1,85.2,6.2,1.1,43.4,3.75,2.7,1.4,4
"43",34377,-0.2,0.1,79.5,4.8,1.2,34.6,2.99,4.3,-1.2,1.8
"44",34378,-8,0,57.1,1.9,1.4,83.6,7.23,7.2,-9.4,-1
"45",34379,-6.3,0,43.6,1.7,2.1,98.7,8.53,7.8,-11.2,-2.7
"46",34380,-3.6,0,53.2,2.5,2.2,101.4,8.76,6.7,-8.1,1
"47",34381,-2.9,0,55,2.7,2.2,103.5,8.94,4.3,-7.5,1.3
"48",34382,-3.8,0,60.1,2.8,1.9,94.7,8.18,2.5,-6.3,0.7
"49",34383,-6.1,0,71.5,2.8,1.1,99.6,8.61,1.7,-10,-0.4
"50",34384,-5.3,1.9,79.3,3.3,0.8,47.5,4.1,1.1,-10.1,-1.7
"51",34385,-7.9,3.5,91,3.1,0.3,27.8,2.4,1.6,-10.7,-4.1
"52",34386,-5.3,4,92.5,3.8,0.3,40.4,3.49,1.3,-11.9,-2.6
"53",34387,-6.5,1.7,86.6,3.3,0.5,45,3.89,1.1,-14.5,-2.6
"54",34388,-4.6,0,90.3,3.9,0.4,66.3,5.73,1.2,-10.3,-1.4
"55",34389,-2.9,0.2,91.2,4.5,0.4,43.8,3.79,2.9,-6.2,-1.5
"56",34390,-2.7,0,88.3,4.5,0.6,56.1,4.85,1,-5,1
"57",34391,1.9,0,89.3,6.3,0.8,58.3,5.04,2.5,-5.2,4.7
"58",34392,5.5,0,83.4,7.5,1.5,47,4.06,1.2,0.2,11.2
"59",34393,6.2,6.5,89,8.4,1.1,64,5.53,2.5,3.5,10.6
"60",34394,1.1,3.3,96.9,6.4,0.2,37.4,3.23,3.5,0.2,4.5
"61",34395,3.8,3.1,91.8,7.3,0.7,36.3,3.14,2.2,0.8,5.9
"62",34396,6.5,2.5,75.7,7.3,2.4,83,7.17,4,2.9,10
"63",34397,4,0,78,6.3,1.8,112.2,9.69,4.1,1.6,8.4
"64",34398,7.3,1.9,62.1,6.3,3.9,124.3,10.74,3,0.7,11.7
"65",34399,6.4,2,72.9,7,2.6,85.9,7.42,4.8,4,9.3
"66",34400,7.6,2.7,90.5,9.4,1,34.5,2.98,5.7,5.8,8.8
"67",34401,10.7,0,91.7,11.8,1.1,35.1,3.03,4.1,7.7,11.5
"68",34402,11.1,0.1,83.5,11,2.2,52.4,4.53,4.1,9.9,13.4
"69",34403,6,0,72.9,6.8,2.5,116.4,10.06,4.5,3.2,11.1
"70",34404,5.8,0,69.9,6.4,2.8,138.9,12,2.1,-0.7,12.4
"71",34405,5.4,2.8,79.4,7.1,1.9,66.4,5.73,3,2.9,8.5
"72",34406,5.6,8.6,80.7,7.3,1.8,51.1,4.41,8.4,2.6,8.8
"73",34407,8.1,9.5,77.7,8.4,2.4,45.4,3.92,8.9,4.6,10.2
"74",34408,4.9,0.3,91.2,7.9,0.8,39.1,3.38,3.6,4,8.9
"75",34409,3,5.6,86.9,6.6,1,103.1,8.91,5.8,1.8,7.1
"76",34410,2,6.6,90.8,6.4,0.6,92.3,7.98,7,0.4,5.7
"77",34411,2.9,20.8,88.8,6.7,0.9,93.8,8.11,4.4,0.6,5.9
"78",34412,3.9,2,81.8,6.6,1.5,134.4,11.61,7.4,1.1,7.1
"79",34413,1.3,3,92.3,6.2,0.5,91.6,7.91,3.4,0.3,4.1
"80",34414,1.7,0.6,84.6,5.8,1.1,69.5,6,1.5,0.2,4.3
"81",34415,4,2.6,84.5,6.9,1.3,90.2,7.79,2.9,-2.2,6.4
"82",34416,11.2,5.6,87.8,11.6,1.6,43.7,3.78,7.2,4.6,12.7
"83",34417,7.5,0.2,63.9,6.6,3.7,158.3,13.68,8.7,6,12.9
"84",34418,8.3,17,85.3,9.3,1.6,44.9,3.88,5.7,5.7,10.9
"85",34419,4.7,0.5,72.6,6.2,2.3,149.8,12.94,6,2.8,8.1
"86",34420,3.2,0,72,5.5,2.2,148.6,12.84,2.5,0.7,7.9
"87",34421,8,2.8,58.8,6.3,4.4,121.3,10.48,3.7,0.7,11.5
"88",34422,9.9,0.9,82.7,10.1,2.1,83.5,7.21,4.4,7.8,14
"89",34423,12.1,0,73.1,10.3,3.8,170.3,14.71,2.8,4.4,17
"90",34424,9.8,5.9,71.4,8.6,3.5,131,11.32,4.5,7.5,16
"91",34425,9.6,5.8,70.4,8.4,3.6,132.4,11.44,6.8,7.1,14.8
"92",34426,4.3,2.8,84.1,6.9,1.3,119.3,10.31,3.9,2.4,8.5
"93",34427,5.1,0,74.1,6.5,2.3,195.8,16.91,3,-0.2,9.4
"94",34428,5,14.4,80.5,7,1.7,49.1,4.24,5.7,2.5,6
"95",34429,5.6,0,66.3,6,3.1,171.3,14.8,5.3,0.8,9.3
"96",34430,5.5,0.1,72.7,6.5,2.5,167.9,14.51,2,2.6,10.4
"97",34431,4.4,0,76.9,6.4,2,153.4,13.25,1,-0.3,10
"98",34432,7.1,0.3,68.6,6.9,3.2,187.4,16.19,2.1,0.6,12
"99",34433,5.1,4.7,80.9,7.1,1.7,117.9,10.18,4,3.7,9
"100",34434,6.2,1.2,77.2,7.3,2.2,150.5,13,3.1,0.5,8.4
"101",34435,7.2,4.1,90.1,9.1,1,70.7,6.11,4.1,4.8,10.2
"102",34436,9.5,1.3,85,10,1.8,97.9,8.46,4.7,6.2,13.7
"103",34437,6.5,28.3,93.8,9,0.6,54.1,4.67,5.5,5.7,9.2
"104",34438,5.9,0,79.3,7.4,1.9,78.6,6.79,5.2,4.8,7.3
"105",34439,7.1,0,66.1,6.7,3.4,199.2,17.21,1.7,3.4,11.8
"106",34440,7.9,0,75.4,8,2.6,134,11.58,3.1,1.6,12.4
"107",34441,6,0,72.2,6.7,2.6,203.5,17.58,3.5,1.5,11.4
"108",34442,4.8,0,64.2,5.5,3.1,204.4,17.66,2.8,0.1,9.9
"109",34443,6.5,0,64,6.2,3.5,214.4,18.52,1.7,-0.9,11.9
"110",34444,10.6,0,56.1,7.1,5.6,230.1,19.88,1.8,3,15.7
"111",34445,10.6,0,62.2,7.9,4.9,155.7,13.45,1.3,6.2,16.2
"112",34446,12.6,0,61.9,9,5.5,235.7,20.37,1.6,5.6,18.1
"113",34447,15.7,0,49.8,8.8,9,237.2,20.5,3.5,6.9,21.7
"114",34448,15.7,0,58.3,10.3,7.4,231.2,19.97,2.6,9.3,23
"115",34449,14.9,2.3,65,10.9,5.9,212.8,18.39,2.7,10,21.5
"116",34450,12.8,0,70.3,10.4,4.4,212.5,18.36,2.8,8.2,17.9
"117",34451,14.8,0,76.2,12.7,4,182.5,15.77,2.1,10.5,19.3
"118",34452,16.4,0,80,14.9,3.7,107.2,9.26,2.4,12.9,19.6
